path,group,grid,run,crashed,started,finished
WDRE,PSA/RMI_Aux,0,1,False,30-01-2023T19:32:40,31-01-2023T05:36:48
WDRE,PSA/RMI_Aux,1,0,False,31-01-2023T05:36:48,31-01-2023T11:08:21
WDRE,PSA/RMI_Aux,1,1,False,31-01-2023T11:08:21,31-01-2023T14:31:43
test/WDRE,PSA/RMI_Aux_poly,0,0,False,31-01-2023T15:59:38,31-01-2023T16:07:42
test/WDRE,PSA/RMI_weights,0,0,False,01-02-2023T12:15:37,
WDRE,PSA/RMI_weights,0,0,False,31-01-2023T16:21:33,31-01-2023T19:26:19
WDRE,PSA/RMI_Aux_poly,0,0,False,31-01-2023T19:26:23,31-01-2023T23:05:02
WDRE,PSA/RMI_Aux_poly,0,1,False,31-01-2023T23:05:02,01-02-2023T06:29:18
test/WDRE,PSA/RMI_Aux_exp,0,0,False,08-02-2023T15:48:32,
WDRE,PSA/RMI_Aux_exp,0,0,False,08-02-2023T12:13:55,
WDRE,PSA/RMI_Aux_exp,0,1,False,01-02-2023T18:54:20,01-02-2023T22:03:41
WDRE,PSA/RMI_Aux_exp,0,2,False,01-02-2023T22:03:41,01-02-2023T23:26:21
WDRE,PSA/RMI_Aux_exp,0,3,False,01-02-2023T23:26:22,02-02-2023T02:09:58
WDRE,PSA/RMI_Aux_exp_min,0,0,False,03-02-2023T17:28:10,03-02-2023T19:32:53
WDRE,PSA/RMI_Aux_exp_min,0,1,False,03-02-2023T19:32:53,03-02-2023T22:10:20
WDRE,PSA/RMI_Aux_exp_min,0,2,False,03-02-2023T22:10:20,03-02-2023T23:59:48
test/WDRE,PSA/RMI_Aux_exp_min,0,0,False,05-02-2023T16:10:15,05-02-2023T17:28:19
test/WDRE,PSA/HrnetPSAweeder,0,0,False,06-02-2023T17:12:04,
WDRE,PSA/HrnetPSAweeder,0,0,False,06-02-2023T10:43:05,06-02-2023T11:50:29
test/WDRE,PSA/HrnetPSAweeder,1,0,False,05-02-2023T19:03:31,05-02-2023T19:06:45
test/WDRE,PSA/HrnetPSAweeder,2,0,False,05-02-2023T19:06:45,05-02-2023T19:09:54
WDRE,PSA/HrnetPSAweeder,1,0,False,05-02-2023T20:47:43,05-02-2023T22:42:36
WDRE,PSA/HrnetPSAweeder,2,0,True,05-02-2023T22:42:36,06-02-2023T00:21:06
WDRE,PSA/HrnetPSAweeder/VariableLoss,0,0,False,06-02-2023T17:15:31,06-02-2023T19:31:00
WDRE,test/PSA/HrnetPSAweeder/VariableLoss,0,0,False,07-02-2023T11:48:14,
WDRE,PSA/RMI_Aux_exp,1,0,False,07-02-2023T19:30:07,07-02-2023T21:17:50
WDRE,PSA/RMI_Aux_exp,2,0,False,07-02-2023T21:17:50,07-02-2023T23:21:04
test/WDRE,PSAWeeder/Pretrained,0,0,False,08-02-2023T17:05:18,08-02-2023T21:18:52
